,Quarter,Time,Tm,Detail,HOU,BAL
0,1.0,3:43,Texans,Kris Brown 39 yard field goal,3,0
1,2.0,13:01,Ravens,Kyle Boller 6 yard rush (Matt Stover kick),3,7
2,2.0,0:04,Texans,Kris Brown 26 yard field goal,6,7
3,4.0,14:30,Texans,Kris Brown 22 yard field goal,9,7
4,4.0,7:16,Ravens,Adalius Thomas 20 yard interception return,9,13
5,4.0,3:31,Texans,Kris Brown 29 yard field goal,12,13
6,4.0,1:08,Texans,Kris Brown 39 yard field goal,15,13
7,4.0,0:06,Ravens,Matt Stover 38 yard field goal,15,16
