,Quarter,Tm,Detail,DEN,OAK
0,1.0,Broncos,Bobby Howfield 23 yard field goal,3,0
1,1.0,Raiders,Raymond Chester 24 yard pass from Daryle Lamonica (George Blanda kick),3,7
2,1.0,Broncos,Floyd Little 54 yard rush (Bobby Howfield kick),10,7
3,2.0,Broncos,Mike Haffner 28 yard pass from Pete Liske (Bobby Howfield kick),17,7
4,2.0,Raiders,Warren Wells 32 yard pass from Daryle Lamonica (George Blanda kick),17,14
5,2.0,Raiders,Warren Wells 60 yard pass from Daryle Lamonica (George Blanda kick),17,21
6,3.0,Broncos,Bobby Howfield 47 yard field goal,20,21
7,3.0,Broncos,Bobby Howfield 34 yard field goal,23,21
8,4.0,Raiders,Warren Wells 20 yard pass from Daryle Lamonica (George Blanda kick),23,28
9,4.0,Raiders,Charlie Smith 5 yard rush (George Blanda kick),23,35
