,Quarter,Tm,Detail,SDG,HOU
0,2.0,Chargers,Jeff Queen 4 yard rush (Dennis Partee kick),7,0
1,2.0,Chargers,Dennis Partee 50 yard field goal,10,0
2,2.0,Oilers,Charlie Joiner 14 yard pass from Woody Campbell (Mark Moseley kick),10,7
3,2.0,Chargers,Jeff Queen 5 yard rush (Dennis Partee kick),17,7
4,2.0,Chargers,Bob Babich 27 yard defensive fumble return,23,7
5,3.0,Oilers,Robert Holmes 1 yard rush (Mark Moseley kick),23,14
6,3.0,Chargers,Leon Burns 1 yard rush (Dennis Partee kick),30,14
7,3.0,Oilers,Ken Burrough 62 yard pass from Dan Pastorini (Mark Moseley kick),30,21
8,3.0,Oilers,Ken Houston 35 yard interception return (Mark Moseley kick),30,28
9,3.0,Oilers,Ken Houston 29 yard interception return (Mark Moseley kick),30,35
10,4.0,Chargers,Dennis Partee 20 yard field goal,33,35
11,4.0,Oilers,Robert Holmes 2 yard rush (Mark Moseley kick),33,42
12,4.0,Oilers,Bob Atkins 25 yard interception return (Mark Moseley kick),33,49
