,Quarter,Tm,Detail,HOU,ATL
0,1.0,Falcons,Steve Broussard 6 yard rush (Greg Davis kick),0,7
1,1.0,Falcons,Bobby Butler defensive fumble recovery in end zone (Greg Davis kick),0,14
2,1.0,Falcons,Jessie Tuggle 65 yard defensive fumble return (Greg Davis kick),0,21
3,2.0,Falcons,Greg Davis 39 yard field goal,0,24
4,2.0,Falcons,Greg Davis 39 yard field goal,0,27
5,2.0,Oilers,Tony Jones 15 yard pass from Warren Moon (Tony Zendejas kick),7,27
6,3.0,Falcons,Andre Rison 26 yard pass from Chris Miller (Greg Davis kick),7,34
7,4.0,Falcons,Greg Davis 36 yard field goal,7,37
8,4.0,Oilers,Ernest Givins 80 yard pass from Warren Moon (Tony Zendejas kick),14,37
9,4.0,Oilers,Ernest Givins 6 yard pass from Warren Moon (Tony Zendejas kick),21,37
10,4.0,Oilers,Bernard Ford 3 yard pass from Warren Moon,27,37
11,4.0,Falcons,Greg Davis 51 yard field goal,27,40
12,4.0,Falcons,Deion Sanders 82 yard interception return (Greg Davis kick),27,47
