,Quarter,Tm,Detail,NOR,WAS
0,1.0,Redskins,Mark Moseley 50 yard field goal,0,3
1,2.0,Redskins,Mark Moseley 28 yard field goal,0,6
2,2.0,Redskins,Mark Moseley 35 yard field goal,0,9
3,2.0,Saints,Jimmy Rogers 10 yard rush (Benny Ricardo kick),7,9
4,3.0,Redskins,Mark Moseley 52 yard field goal,7,12
5,3.0,Redskins,Ricky Thompson 26 yard pass from Joe Theismann (Mark Moseley kick),7,19
6,4.0,Redskins,Mark Moseley 38 yard field goal,7,22
7,4.0,Saints,Henry Childs 2 yard pass from Archie Manning (Benny Ricardo kick),14,22
