,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),7,0
1,1.0,Falcons,Mick Luckhurst 47 yard field goal,7,3
2,2.0,49ers,Ray Wersching 24 yard field goal,10,3
3,4.0,Falcons,Sylvester Stamps 39 yard pass from David Archer (Mick Luckhurst kick),10,10
