,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,11:20,Falcons,Morten Andersen 50 yard field goal,0,3
1,1.0,4:20,Saints,Ricky Williams 12 yard rush (Doug Brien kick),7,3
2,2.0,5:32,Falcons,Morten Andersen 44 yard field goal,7,6
3,2.0,1:22,Falcons,Tim Dwight 52 yard pass from Chris Chandler (Morten Andersen kick),7,13
4,3.0,5:45,Saints,Ricky Williams 26 yard rush (Doug Brien kick),14,13
5,4.0,4:10,Saints,Ricky Williams 1 yard rush (Doug Brien kick),21,13
6,4.0,2:58,Falcons,Terance Mathis 33 yard pass from Chris Chandler (pass failed),21,19
