,Quarter,Tm,Detail,SEA,NYJ
0,2.0,Seahawks,Daryl Turner 45 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,2.0,Seahawks,Jacob Green 79 yard defensive fumble return (Norm Johnson kick),14,0
2,3.0,Jets,Freeman McNeil 16 yard pass from Ken O'Brien (Pat Leahy kick),14,7
3,4.0,Jets,Pat Leahy 41 yard field goal,14,10
4,4.0,Jets,Wesley Walker 15 yard pass from Ken O'Brien (Pat Leahy kick),14,17
