,Quarter,Tm,Detail,HOU,CLE
0,1,Browns,Matt Bahr 37 yard field goal,0,3
1,1,Oilers,Mike Renfro 19 yard pass from Gifford Nielsen (Florian Kempf kick),7,3
2,2,Oilers,Florian Kempf 19 yard field goal,10,3
3,2,Browns,Doug Dieken 14 yard pass from Paul McDonald (Matt Bahr kick),10,10
4,3,Oilers,Mike Renfro 38 yard pass from Gifford Nielsen,16,10
5,3,Browns,Matt Bahr 37 yard field goal,16,13
6,3,Oilers,Florian Kempf 24 yard field goal,19,13
7,4,Browns,Matt Bahr 29 yard field goal,19,16
8,4,Browns,Matt Bahr 30 yard field goal,19,19
9,OT,Browns,Boyce Green 20 yard rush,19,25
