,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,6:06,Colts,Mike Vanderjagt 29 yard field goal,0,3
1,2.0,8:47,Titans,Tyrone Calico 7 yard pass from Steve McNair (Gary Anderson kick),7,3
2,2.0,6:14,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),7,10
3,2.0,0:56,Colts,Marvin Harrison 35 yard pass from Peyton Manning (Mike Vanderjagt kick),7,17
4,3.0,7:42,Colts,Mike Vanderjagt 41 yard field goal,7,20
5,4.0,9:26,Colts,Mike Vanderjagt 23 yard field goal,7,23
6,4.0,6:52,Colts,Mike Vanderjagt 48 yard field goal,7,26
7,4.0,0:22,Colts,Nick Harper 75 yard interception return (Mike Vanderjagt kick),7,33
