,Quarter,Tm,Detail,CIN,PIT
0,1.0,Bengals,Chris Bahr 29 yard field goal,3,0
1,2.0,Steelers,Rocky Bleier 1 yard rush (Roy Gerela kick),3,7
2,2.0,Bengals,Chris Bahr 48 yard field goal,6,7
