,Quarter,Time,Tm,Detail,NYJ,NWE
0,1.0,7:32,Patriots,BenJarvus Green-Ellis 3 yard rush (Stephen Gostkowski kick),0,7
1,2.0,11:15,Patriots,Stephen Gostkowski 44 yard field goal,0,10
2,2.0,3:21,Jets,Shonn Greene 3 yard rush (Nick Folk kick),7,10
3,3.0,12:45,Patriots,Deion Branch 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,17
4,3.0,11:02,Jets,Jeremy Kerley 9 yard pass from Mark Sanchez (Nick Folk kick),14,17
5,3.0,1:20,Patriots,BenJarvus Green-Ellis 3 yard rush (Stephen Gostkowski kick),14,24
6,4.0,12:57,Patriots,Stephen Gostkowski 24 yard field goal,14,27
7,4.0,7:14,Jets,Santonio Holmes 10 yard pass from Mark Sanchez (Nick Folk kick),21,27
8,4.0,1:02,Patriots,Stephen Gostkowski 28 yard field goal,21,30
