,Quarter,Tm,Detail,SDG,MIA
0,1,Chargers,Rolf Benirschke 32 yard field goal,3,0
1,1,Chargers,Wes Chandler 58 yard punt return (Rolf Benirschke kick),10,0
2,1,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),17,0
3,1,Chargers,James Brooks 8 yard pass from Dan Fouts (Rolf Benirschke kick),24,0
4,2,Dolphins,Uwe von Schamann 34 yard field goal,24,3
5,2,Dolphins,Joe Rose 1 yard pass from Don Strock (Uwe von Schamann kick),24,10
6,2,Dolphins,Tony Nathan 25 yard pass from Don Strock (Uwe von Schamann kick),24,17
7,3,Dolphins,Joe Rose 15 yard pass from Don Strock (Uwe von Schamann kick),24,24
8,3,Chargers,Kellen Winslow 25 yard pass from Dan Fouts (Rolf Benirschke kick),31,24
9,3,Dolphins,Bruce Hardy 50 yard pass from Don Strock (Uwe von Schamann kick),31,31
10,4,Dolphins,Tony Nathan 12 yard rush (Uwe von Schamann kick),31,38
11,4,Chargers,James Brooks 9 yard pass from Dan Fouts (Rolf Benirschke kick),38,38
12,OT,Chargers,Rolf Benirschke 29 yard field goal,41,38
