,Quarter,Tm,Detail,SDG,MIA
0,2.0,Chargers,Gary Garrison 40 yard pass from John Hadl (Dennis Partee kick),7,0
1,2.0,Chargers,Gary Garrison 26 yard pass from John Hadl (Dennis Partee kick),14,0
2,3.0,Dolphins,Karl Noonan 5 yard pass from Bob Griese (Karl Kremser kick),14,7
3,4.0,Chargers,Kenny Graham 65 yard interception return (Dennis Partee kick),21,7
4,4.0,Dolphins,Jim Kiick 2 yard rush (Karl Kremser kick),21,14
