,Quarter,Tm,Detail,MIN,SEA
0,1.0,Seahawks,Brian Blades 9 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,1.0,Vikings,Hassan Jones 8 yard pass from Rich Gannon (Fuad Reveiz kick),7,7
2,2.0,Vikings,Anthony Carter 11 yard pass from Rich Gannon (Fuad Reveiz kick),14,7
3,2.0,Seahawks,Brian Blades 5 yard pass from Dave Krieg (Norm Johnson kick),14,14
4,4.0,Seahawks,Derrick Fenner 1 yard rush (Norm Johnson kick),14,21
5,4.0,Vikings,Herschel Walker 58 yard rush (Fuad Reveiz kick),21,21
6,4.0,Vikings,Fuad Reveiz 24 yard field goal,24,21
