,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Keith Krepfle 3 yard pass from Mike Boryla (Horst Muhlmann kick),7,0
1,2.0,Cardinals,Steve Jones 1 yard rush,7,6
2,2.0,Cardinals,Mel Gray 49 yard pass from Jim Hart,7,12
3,2.0,Cardinals,Wayne Morris 6 yard rush (Jim Bakken kick),7,19
4,3.0,Cardinals,Jerry Latin 4 yard rush (Jim Bakken kick),7,26
5,4.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),7,33
6,4.0,Eagles,Bill Olds 2 yard rush (Horst Muhlmann kick),14,33
