,Quarter,Tm,Detail,TAM,GNB
0,1.0,Packers,Chester Marcol 38 yard field goal,0,3
1,2.0,Buccaneers,Jerry Eckwood 40 yard rush (Neil O'Donoghue kick),7,3
2,3.0,Buccaneers,Ricky Bell 11 yard pass from Doug Williams (Neil O'Donoghue kick),14,3
3,3.0,Buccaneers,Ricky Bell 19 yard rush (Neil O'Donoghue kick),21,3
4,4.0,Packers,James Lofton 12 yard pass from David Whitehurst (Chester Marcol kick),21,10
