,Quarter,Tm,Detail,CLE,DEN
0,1.0,Broncos,Ricky Nattiel 8 yard pass from John Elway (Rich Karlis kick),0,7
1,1.0,Broncos,Steve Sewell 1 yard rush (Rich Karlis kick),0,14
2,2.0,Browns,Matt Bahr 24 yard field goal,3,14
3,2.0,Broncos,Gene Lang 1 yard rush (Rich Karlis kick),3,21
4,3.0,Browns,Reggie Langhorne 18 yard pass from Bernie Kosar (Matt Bahr kick),10,21
5,3.0,Broncos,Mark Jackson 80 yard pass from John Elway (Rich Karlis kick),10,28
6,3.0,Browns,Earnest Byner 32 yard pass from Bernie Kosar (Matt Bahr kick),17,28
7,3.0,Browns,Earnest Byner 4 yard rush (Matt Bahr kick),24,28
8,3.0,Broncos,Rich Karlis 38 yard field goal,24,31
9,4.0,Browns,Webster Slaughter 4 yard pass from Bernie Kosar (Matt Bahr kick),31,31
10,4.0,Broncos,Sammy Winder 20 yard pass from John Elway (Rich Karlis kick),31,38
11,4.0,Browns,"Safety, Horan ran out of end zone",33,38
