,Quarter,Time,Tm,Detail,NOR,NYJ
0,1.0,1:56,Jets,Mike Nugent 29 yard field goal,0,3
1,2.0,12:59,Saints,Donte' Stallworth 21 yard pass from Aaron Brooks (John Carney kick),7,3
2,2.0,7:02,Jets,Mike Nugent 45 yard field goal,7,6
3,2.0,2:41,Saints,Zachary Hilton 15 yard pass from Aaron Brooks (John Carney kick),14,6
4,2.0,0:14,Jets,Mike Nugent 41 yard field goal,14,9
5,3.0,5:35,Jets,Justin McCareins 27 yard pass from Brooks Bollinger (Mike Nugent kick),14,16
6,4.0,14:56,Jets,Mike Nugent 38 yard field goal,14,19
7,4.0,8:32,Saints,Devery Henderson 30 yard pass from Aaron Brooks (John Carney kick),21,19
