,Quarter,Time,Tm,Detail,OAK,TEN
0,1.0,9:50,Titans,Ryan Succop 34 yard field goal,0,3
1,1.0,8:19,Raiders,Latavius Murray 22 yard rush (Sebastian Janikowski kick),7,3
2,2.0,8:13,Raiders,Sebastian Janikowski 52 yard field goal,10,3
3,2.0,0:33,Raiders,Seth Roberts 19 yard pass from Derek Carr (Sebastian Janikowski kick),17,3
4,3.0,5:51,Titans,DeMarco Murray 5 yard rush (Ryan Succop kick),17,10
