,Quarter,Tm,Detail,NYJ,NOR
0,1.0,Jets,Jerome Barkum 40 yard pass from Richard Todd (Pat Leahy kick),7,0
1,2.0,Saints,Henry Childs 9 yard pass from Archie Manning (Rich Szaro kick),7,7
2,2.0,Jets,Pat Leahy 48 yard field goal,10,7
3,4.0,Saints,Chuck Muncie 17 yard rush,10,13
4,4.0,Jets,Pat Leahy 29 yard field goal,13,13
5,4.0,Jets,Pat Leahy 27 yard field goal,16,13
