,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Mike Reilly special teams fumble recovery in end zone (Fred Cox kick),7,0
1,3.0,Vikings,John Beasley 1 yard pass from Joe Kapp (Fred Cox kick),14,0
2,4.0,Vikings,Fred Cox 24 yard field goal,17,0
3,4.0,Vikings,Clint Jones 18 yard rush (Fred Cox kick),24,0
4,4.0,Vikings,Dave Osborn 58 yard rush (Fred Cox kick),31,0
