,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,LeRoy Irvin 75 yard punt return (Frank Corral kick),7,0
1,1.0,Rams,Frank Corral 25 yard field goal,10,0
2,1.0,Rams,Frank Corral 37 yard field goal,13,0
3,2.0,Falcons,William Andrews 25 yard rush (Mick Luckhurst kick),13,7
4,2.0,Falcons,Junior Miller 11 yard pass from Steve Bartkowski (Mick Luckhurst kick),13,14
5,2.0,Falcons,Alfred Jenkins 23 yard pass from Steve Bartkowski (Mick Luckhurst kick),13,21
6,2.0,Rams,Henry Childs 1 yard pass from Jeff Rutledge (Frank Corral kick),20,21
7,3.0,Rams,Drew Hill 36 yard pass from Jeff Rutledge (Frank Corral kick),27,21
8,3.0,Falcons,Alfred Jackson 8 yard pass from Steve Bartkowski (Mick Luckhurst kick),27,28
9,4.0,Falcons,William Andrews 2 yard rush (Mick Luckhurst kick),27,35
10,4.0,Rams,LeRoy Irvin 84 yard punt return (Frank Corral kick),34,35
11,4.0,Rams,Frank Corral 25 yard field goal,37,35
