,Quarter,Tm,Detail,DAL,CHI
0,1.0,Cowboys,Duane Thomas 3 yard rush (Mike Clark kick),7,0
1,1.0,Bears,Bobby Douglass 9 yard rush (Mac Percival kick),7,7
2,1.0,Bears,Mac Percival 44 yard field goal,7,10
3,2.0,Bears,Mac Percival 38 yard field goal,7,13
4,2.0,Cowboys,"Safety, Welch tackled Green in end zone",9,13
5,3.0,Bears,Mac Percival 35 yard field goal,9,16
6,4.0,Cowboys,Mike Clark 10 yard field goal,12,16
7,4.0,Bears,Dick Gordon 28 yard pass from Bobby Douglass (Bobby Douglass run),12,23
8,4.0,Cowboys,Gloster Richardson 45 yard pass from Craig Morton (Mike Clark kick),19,23
