,Quarter,Time,Tm,Detail,SEA,DEN
0,2.0,,Broncos,John Elway 12 yard rush (Jason Elam kick),0,7
1,3.0,,Broncos,Jason Elam 42 yard field goal,0,10
2,3.0,,Seahawks,John Kasay 19 yard field goal,3,10
3,4.0,,Seahawks,Chris Warren 23 yard rush (John Kasay kick),10,10
4,4.0,,Broncos,Leonard Russell 11 yard rush (Jason Elam kick),10,17
