,Quarter,Time,Tm,Detail,SEA,JAX
0,1.0,,Jaguars,Jimmy Smith 12 yard pass from Mark Brunell (Mike Hollis kick),0,7
1,2.0,,Seahawks,Todd Peterson 27 yard field goal,3,7
2,2.0,,Seahawks,Ricky Proehl 10 yard pass from Rick Mirer (Todd Peterson kick),10,7
3,3.0,,Seahawks,Todd Peterson 24 yard field goal,13,7
4,4.0,1:54,Jaguars,Jimmy Smith 39 yard pass from Mark Brunell (Mike Hollis kick),13,14
5,4.0,1:54,Jaguars,Mike Hollis 19 yard field goal,13,17
6,4.0,1:54,Jaguars,Mike Hollis 39 yard field goal,13,20
