,Quarter,Time,Tm,Detail,IND,MIA
0,1.0,10:27,Dolphins,O.J. McDuffie 61 yard pass from Dan Marino (Olindo Mare kick),0,7
1,2.0,14:24,Dolphins,O.J. McDuffie 6 yard pass from Dan Marino (Olindo Mare kick),0,14
2,2.0,8:46,Dolphins,Olindo Mare 21 yard field goal,0,17
3,2.0,0:03,Dolphins,Olindo Mare 23 yard field goal,0,20
4,4.0,14:47,Dolphins,John Avery 8 yard rush (Olindo Mare kick),0,27
5,4.0,8:50,Colts,Marshall Faulk 6 yard rush (Marcus Pollard pass from Peyton Manning),8,27
6,4.0,2:49,Colts,Ken Dilger 9 yard pass from Peyton Manning (pass failed),14,27
