,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Tommy McDonald 25 yard pass from Sonny Jurgensen (Bobby Walston kick),0,7
1,1.0,Eagles,Timmy Brown 2 yard rush (Bobby Walston kick),0,14
2,2.0,Eagles,Sonny Jurgensen 1 yard rush (Bobby Walston kick),0,21
3,2.0,Cowboys,Amos Marsh 1 yard rush (Sam Baker kick),7,21
4,3.0,Cowboys,Amos Marsh 5 yard rush (Sam Baker kick),14,21
5,4.0,Eagles,Timmy Brown 22 yard rush (Bobby Walston kick),14,28
