,Quarter,Tm,Detail,MIA,CHI
0,1.0,Dolphins,Garo Yepremian 39 yard field goal,3,0
1,1.0,Dolphins,Benny Malone 1 yard rush (Garo Yepremian kick),10,0
2,2.0,Bears,Bob Thomas 27 yard field goal,10,3
3,2.0,Dolphins,Norm Bulaich 20 yard pass from Bob Griese (Garo Yepremian kick),17,3
4,2.0,Bears,Bob Thomas 31 yard field goal,17,6
5,2.0,Dolphins,Garo Yepremian 32 yard field goal,20,6
6,3.0,Dolphins,Nat Moore 79 yard pass from Bob Griese (Garo Yepremian kick),27,6
7,3.0,Dolphins,Garo Yepremian 35 yard field goal,30,6
8,3.0,Bears,Walter Payton 4 yard rush (Bob Thomas kick),30,13
9,3.0,Dolphins,"Safety, Reese tackled Huff in end zone",32,13
10,4.0,Dolphins,Freddie Solomon 58 yard pass from Bob Griese (Garo Yepremian kick),39,13
11,4.0,Dolphins,Howard Twilley 29 yard pass from Earl Morrall (Garo Yepremian kick),46,13
