,Quarter,Tm,Detail,PHI,PIT
0,2.0,Eagles,Len Barnum 43 yard field goal,3,0
1,3.0,Steelers,Boyd Brumbaugh 4 yard rush (Jack Sanders kick),3,7
2,3.0,Eagles,Lou Tomasetti 40 yard pass from Dan DeSantis (Len Barnum kick),10,7
