,Quarter,Time,Tm,Detail,DAL,KAN
0,1.0,,Chiefs,Pete Stoyanovich 24 yard field goal,0,3
1,2.0,,Cowboys,Richie Cunningham 32 yard field goal,3,3
2,3.0,,Chiefs,Bam Morris 1 yard rush (Pete Stoyanovich kick),3,10
3,3.0,,Chiefs,Rich Gannon 9 yard rush (Pete Stoyanovich kick),3,17
4,4.0,,Cowboys,Patrick Jeffers 28 yard pass from Troy Aikman (Richie Cunningham kick),10,17
5,4.0,,Chiefs,Pete Stoyanovich 43 yard field goal,10,20
6,4.0,,Cowboys,Emmitt Smith 8 yard pass from Troy Aikman (Richie Cunningham kick),17,20
