,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,6:29,Saints,Andrew Glover 1 yard pass from Jeff Blake (Doug Brien kick),0,7
1,2.0,13:41,Saints,Willie Jackson 4 yard pass from Jeff Blake (Doug Brien kick),0,14
2,2.0,4:34,Saints,Joe Horn 43 yard pass from Jeff Blake (Doug Brien kick),0,21
3,2.0,0:09,Saints,Ricky Williams 1 yard rush (Doug Brien kick),0,28
4,3.0,12:01,Saints,Doug Brien 44 yard field goal,0,31
5,3.0,7:52,49ers,Charlie Garner 1 yard rush (Wade Richey kick),7,31
6,4.0,0:47,49ers,Terry Jackson 11 yard pass from Jeff Garcia (Terry Jackson run),15,31
