,Quarter,Time,Tm,Detail,CIN,JAX
0,1.0,,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),0,7
1,1.0,,Jaguars,Mike Hollis 39 yard field goal,0,10
2,2.0,,Jaguars,Jimmy Smith 18 yard pass from Mark Brunell (Mike Hollis kick),0,17
3,2.0,,Jaguars,Aaron Beasley 90 yard defensive fumble return (Mike Hollis kick),0,24
4,3.0,,Bengals,Doug Pelfrey 50 yard field goal,3,24
5,4.0,2:00,Bengals,Damon Gibson 9 yard pass from Paul Justin (Paul Justin run),11,24
