,Quarter,Time,Tm,Detail,MIA,TEN
0,1.0,10:23,Dolphins,Olindo Mare 37 yard field goal,3,0
1,1.0,2:12,Dolphins,Lamar Smith 4 yard rush (Olindo Mare kick),10,0
2,2.0,12:04,Titans,Bobby Myers 14 yard defensive fumble return (Joe Nedney kick),10,7
3,2.0,9:26,Dolphins,Oronde Gadsden 23 yard pass from Jay Fiedler (Olindo Mare kick),17,7
4,3.0,5:56,Dolphins,Lamar Smith 65 yard pass from Jay Fiedler (Olindo Mare kick),24,7
5,3.0,3:57,Titans,Derrick Mason 29 yard pass from Steve McNair (Joe Nedney kick),24,14
6,4.0,8:15,Dolphins,Zach Thomas 34 yard interception return (Olindo Mare kick),31,14
7,4.0,6:09,Titans,Erron Kinney 18 yard pass from Neil O'Donnell (Joe Nedney kick failed),31,20
8,4.0,3:02,Titans,Joe Nedney 51 yard field goal,31,23
