,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,13:27,Bills,Nickell Robey-Coleman 19 yard interception return (Dan Carpenter kick),7,0
1,1.0,5:47,Bills,Fred Jackson 3 yard rush (Dan Carpenter kick),14,0
2,2.0,10:59,Dolphins,Charles Clay 7 yard pass from Ryan Tannehill (Caleb Sturgis kick),14,7
3,2.0,3:14,Bills,Dan Carpenter 39 yard field goal,17,7
4,2.0,0:21,Dolphins,Brandon Gibson 13 yard pass from Ryan Tannehill (Caleb Sturgis kick),17,14
5,3.0,6:46,Dolphins,Brandon Gibson 4 yard pass from Ryan Tannehill (Caleb Sturgis kick),17,21
6,4.0,14:16,Bills,Dan Carpenter 20 yard field goal,20,21
7,4.0,0:33,Bills,Dan Carpenter 31 yard field goal,23,21
