,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Pat Leahy 25 yard field goal,3,0
1,1.0,Colts,Randy McMillan 2 yard pass from Bert Jones (Mike Wood kick),3,7
2,1.0,Jets,Wesley Walker 34 yard pass from Richard Todd (Pat Leahy kick),10,7
3,2.0,Colts,Randy McMillan 1 yard rush (Mike Wood kick),10,14
4,2.0,Jets,Mike Augustyniak 1 yard rush (Pat Leahy kick),17,14
5,2.0,Jets,Lam Jones 25 yard pass from Richard Todd (Pat Leahy kick),24,14
6,3.0,Jets,Kevin Long 1 yard pass from Richard Todd (Pat Leahy kick),31,14
7,4.0,Jets,Bruce Harper 3 yard rush (Pat Leahy kick),38,14
8,4.0,Jets,Pat Leahy 41 yard field goal,41,14
