,Quarter,Tm,Detail,SDG,CLE
0,1.0,Chargers,Fuad Reveiz 42 yard field goal,3,0
1,1.0,Browns,Mike Johnson 64 yard interception return (Jerry Kauric kick),3,7
2,2.0,Chargers,Anthony Miller 19 yard pass from Billy Joe Tolliver (Fuad Reveiz kick),10,7
3,2.0,Browns,Leroy Hoard 1 yard rush (Jerry Kauric kick),10,14
4,3.0,Chargers,Anthony Miller 23 yard pass from Billy Joe Tolliver (Fuad Reveiz kick),17,14
5,4.0,Chargers,Rod Bernstine 1 yard rush (Fuad Reveiz kick),24,14
