,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,,Bears,Steve Stenstrom 1 yard rush (Jeff Jaeger kick),7,0
1,1.0,,Packers,Ryan Longwell 35 yard field goal,7,3
2,2.0,1:29,Packers,Ryan Longwell 43 yard field goal,7,6
3,2.0,0:02,Packers,Ryan Longwell 40 yard field goal,7,9
4,2.0,0:02,Bears,Walt Harris 13 yard interception return (pass failed),13,9
5,3.0,0:02,Packers,Mark Chmura 6 yard pass from Brett Favre (Ryan Longwell kick),13,16
6,4.0,0:02,Packers,Antonio Freeman 13 yard pass from Brett Favre (Ryan Longwell kick),13,23
7,4.0,0:02,Packers,Ryan Longwell 24 yard field goal,13,26
8,4.0,0:02,Bears,Glyn Milburn 94 yard kickoff return (Jeff Jaeger kick),20,26
