,Quarter,Time,Tm,Detail,CAR,WAS
0,1.0,7:51,Redskins,Stephen Davis 2 yard rush (Brett Conway kick),0,7
1,1.0,7:36,Panthers,Michael Bates 92 yard kickoff return (Richie Cunningham kick),7,7
2,1.0,1:31,Panthers,Richie Cunningham 29 yard field goal,10,7
3,3.0,8:09,Redskins,Brett Conway 24 yard field goal,10,10
4,4.0,12:14,Redskins,Brad Johnson 1 yard rush (Brett Conway kick),10,17
5,4.0,4:59,Redskins,Brett Conway 21 yard field goal,10,20
6,4.0,1:52,Panthers,Wesley Walls 20 yard pass from Steve Beuerlein (Richie Cunningham kick),17,20
