,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,"Safety, Shields blocked punt",0,2
1,1.0,Lions,Jim Martin 20 yard field goal,3,2
2,2.0,Colts,Lenny Moore 80 yard pass from Johnny Unitas,3,8
3,4.0,Lions,Howard Cassady 40 yard pass from Earl Morrall (Jim Martin kick),10,8
4,4.0,Lions,Jim Martin 47 yard field goal,13,8
5,4.0,Colts,Lenny Moore 38 yard pass from Johnny Unitas (Steve Myhra kick),13,15
6,4.0,Lions,Jim Gibbons 65 yard pass from Earl Morrall (Jim Martin kick),20,15
