,Quarter,Time,Tm,Detail,DET,SDG
0,1.0,,Chargers,Tony Martin 32 yard pass from Stan Humphries (John Carney kick),0,7
1,1.0,,Lions,Barry Sanders 2 yard rush (Jason Hanson kick),7,7
2,2.0,,Lions,Barry Sanders 11 yard rush (Jason Hanson kick),14,7
3,2.0,,Chargers,John Carney 29 yard field goal,14,10
4,2.0,,Chargers,Andre Coleman 46 yard pass from Stan Humphries (John Carney kick),14,17
5,3.0,,Chargers,Alfred Pupunu 9 yard pass from Stan Humphries (John Carney kick),14,24
6,4.0,,Chargers,John Carney 20 yard field goal,14,27
7,4.0,,Lions,Brett Perriman 1 yard pass from Don Majkowski (Jason Hanson kick),21,27
