,Quarter,Tm,Detail,PIT,GNB
0,1.0,Packers,Bob Adkins 35 yard interception return (Tiny Engebretsen kick),0,7
1,1.0,Steelers,Armand Niccolai 36 yard field goal,3,7
2,2.0,Packers,Clarke Hinkle 33 yard field goal,3,10
3,4.0,Packers,Frank Balazs 2 yard rush (Don Hutson kick),3,17
4,4.0,Packers,Don Hutson 19 yard pass from Hal Van Every (Tiny Engebretsen kick),3,24
