,Quarter,Tm,Detail,ATL,RAM
0,1,Falcons,Alfred Jackson 13 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,0
1,1,Rams,Frank Corral 26 yard field goal,7,3
2,2,Falcons,Junior Miller 9 yard pass from Steve Bartkowski (Tim Mazzetti kick),14,3
3,3,Rams,Jewerl Thomas 37 yard rush (Frank Corral kick),14,10
4,3,Rams,Preston Dennard 17 yard pass from Vince Ferragamo (Frank Corral kick),14,17
5,4,Falcons,Tim Mazzetti 18 yard field goal,17,17
6,OT,Rams,Frank Corral 23 yard field goal,17,20
