,Quarter,Time,Tm,Detail,CAR,NWE
0,2,,Patriots,Matt Bahr 19 yard field goal,0,3
1,3,,Panthers,John Kasay 27 yard field goal,3,3
2,3,,Panthers,Eric Guliford 24 yard pass from Kerry Collins (John Kasay kick),10,3
3,3,,Panthers,Willie Green 33 yard pass from Kerry Collins (John Kasay kick),17,3
4,4,,Patriots,Curtis Martin 3 yard rush (Matt Bahr kick),17,10
5,4,,Patriots,Curtis Martin 2 yard rush (Matt Bahr kick),17,17
6,OT,,Panthers,John Kasay 29 yard field goal,20,17
