,Quarter,Tm,Detail,GNB,CHI
0,2.0,Bears,Bob Thomas 25 yard field goal,0,3
1,2.0,Bears,Bob Thomas 19 yard field goal,0,6
2,3.0,Packers,Chester Marcol 28 yard field goal,3,6
