,Quarter,Tm,Detail,MIA,BUF
0,1.0,Bills,Steve Christie 40 yard field goal,0,3
1,1.0,Dolphins,Pete Stoyanovich 30 yard field goal,3,3
2,2.0,Dolphins,Keith Jackson 24 yard pass from Dan Marino (Pete Stoyanovich kick),10,3
3,2.0,Dolphins,Tony Paige 5 yard pass from Dan Marino (Pete Stoyanovich kick),17,3
4,2.0,Bills,Andre Reed 16 yard pass from Jim Kelly (Steve Christie kick),17,10
5,3.0,Dolphins,Bobby Humphrey 9 yard pass from Dan Marino (Pete Stoyanovich kick),24,10
6,3.0,Dolphins,Louis Oliver 103 yard interception return (Pete Stoyanovich kick),31,10
7,3.0,Dolphins,Pete Stoyanovich 43 yard field goal,34,10
8,4.0,Dolphins,Pete Stoyanovich 34 yard field goal,37,10
