,Quarter,Tm,Detail,NOR,NYG
0,2.0,Giants,Gary Shirk 12 yard pass from Phil Simms (Joe Danelo kick),0,7
1,2.0,Giants,Joe Danelo 20 yard field goal,0,10
2,2.0,Giants,Joe Danelo 55 yard field goal,0,13
3,3.0,Giants,Billy Taylor 1 yard rush (Joe Danelo kick),0,20
4,4.0,Saints,Wayne Wilson 2 yard rush (Benny Ricardo kick),7,20
