,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,,Falcons,Jamal Anderson 4 yard rush (Morten Andersen kick),7,0
1,2.0,,Falcons,Morten Andersen 27 yard field goal,10,0
2,2.0,,Rams,Ernie Conwell 1 yard pass from Tony Banks (Jeff Wilkins kick),10,7
3,3.0,,Falcons,Jamal Anderson 1 yard rush (Morten Andersen kick),17,7
4,3.0,,Rams,Amp Lee 19 yard pass from Tony Banks (Jeff Wilkins kick),17,14
5,3.0,,Rams,Lawrence Phillips 1 yard rush (Jeff Wilkins kick),17,21
6,4.0,,Falcons,Brian Kozlowski 2 yard pass from Chris Chandler (Morten Andersen kick),24,21
7,4.0,,Falcons,Morten Andersen 44 yard field goal,27,21
