,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,,Chargers,John Carney 27 yard field goal,0,3
1,1.0,,Broncos,Ed McCaffrey 15 yard pass from John Elway (Jason Elam kick),7,3
2,1.0,,Broncos,Ed McCaffrey 37 yard pass from John Elway (Jason Elam kick),14,3
3,1.0,,Chargers,Terrell Fletcher 13 yard rush (John Carney kick),14,10
4,2.0,0:55,Broncos,Rod Smith 13 yard pass from John Elway (Jason Elam kick),21,10
5,3.0,0:55,Broncos,Shannon Sharpe 18 yard pass from John Elway (Jason Elam kick),28,10
6,4.0,0:55,Broncos,Jason Elam 34 yard field goal,31,10
7,4.0,0:55,Chargers,Bryan Still 47 yard pass from Craig Whelihan (pass failed),31,16
