,Quarter,Tm,Detail,DEN,BAL
0,1.0,Colts,Raul Allegre 32 yard field goal,0,3
1,2.0,Broncos,Rich Karlis 42 yard field goal,3,3
2,4.0,Colts,Larry Anderson 41 yard defensive fumble return (Raul Allegre kick),3,10
3,4.0,Broncos,Steve Watson 24 yard pass from Steve DeBerg (Rich Karlis kick),10,10
4,4.0,Broncos,Steve DeBerg 2 yard rush (Rich Karlis kick),17,10
