,Quarter,Tm,Detail,CIN,PIT
0,2.0,Pirates,James Clark 27 yard touchdown on a lateral (Mose Kelsch kick),0,7
1,4.0,Pirates,Mose Kelsch 13 yard field goal,0,10
2,4.0,Pirates,Armand Niccolai 13 yard field goal,0,13
