,Quarter,Tm,Detail,OAK,DEN
0,2.0,Raiders,Dave Casper 3 yard pass from Ken Stabler (Jim Breech kick),7,0
1,3.0,Raiders,Booker Russell 1 yard rush (Jim Breech kick),14,0
2,4.0,Broncos,Jim Turner 30 yard field goal,14,3
3,4.0,Broncos,Rob Lytle 1 yard rush (Jim Turner kick),14,10
