,Quarter,Tm,Detail,CRD,DET
0,2.0,Cardinals,Pat Harder 5 yard rush (Pat Harder kick),7,0
1,2.0,Lions,Bob Mann 35 yard pass from Fred Enke,7,6
2,2.0,Cardinals,Charley Trippi 44 yard pass from Jim Hardy (Pat Harder kick),14,6
3,3.0,Cardinals,Charley Trippi 4 yard rush (Pat Harder kick),21,6
4,3.0,Cardinals,Jerry Davis 38 yard fumble return (Pat Harder kick),28,6
5,3.0,Lions,Don Doll 10 yard rush (Bill Dudley kick),28,13
6,4.0,Cardinals,Red Cochran 50 yard punt return (Pat Harder kick),35,13
7,4.0,Lions,Clyde LeForce 1 yard rush,35,19
8,4.0,Cardinals,Pat Harder 44 yard pass from Jim Hardy (Pat Harder kick),42,19
