,Quarter,Time,Tm,Detail,ARI,STL
0,1.0,6:57,Rams,Greg Zuerlein 24 yard field goal,0,3
1,2.0,13:36,Cardinals,Chandler Catanzaro 23 yard field goal,3,3
2,2.0,8:25,Cardinals,Chandler Catanzaro 44 yard field goal,6,3
3,3.0,7:23,Cardinals,Chandler Catanzaro 51 yard field goal,9,3
4,4.0,10:48,Cardinals,Chandler Catanzaro 46 yard field goal,12,3
5,4.0,6:07,Rams,Greg Zuerlein 19 yard field goal,12,6
