,Quarter,Tm,Detail,ATL,RAM
0,1.0,Falcons,Ken Reaves 90 yard interception return (Bob Etter kick),7,0
1,2.0,Falcons,Bob Long 19 yard pass from Bob Berry (Bob Etter kick),14,0
2,2.0,Rams,Billy Truax 16 yard pass from Roman Gabriel (Bruce Gossett kick),14,7
3,2.0,Rams,Bruce Gossett 35 yard field goal,14,10
4,2.0,Rams,Pat Studstill 6 yard pass from Roman Gabriel (Bruce Gossett kick),14,17
5,4.0,Rams,Bruce Gossett 24 yard field goal,14,20
6,4.0,Rams,Jack Pardee 46 yard interception return (Bruce Gossett kick),14,27
