,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Eddie Brown 22 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,1.0,Bengals,James Brooks 14 yard rush (Jim Breech kick),0,14
2,1.0,Bengals,Eddie Brown 35 yard pass from Boomer Esiason (Jim Breech kick),0,21
3,2.0,Bengals,Rodney Holman 5 yard pass from Boomer Esiason (Jim Breech kick),0,28
4,2.0,Bengals,Jim Breech 27 yard field goal,0,31
5,3.0,Bengals,Craig Taylor 5 yard rush (Jim Breech kick),0,38
6,3.0,Bengals,Tim McGee 74 yard pass from Boomer Esiason (Jim Breech kick),0,45
7,3.0,Bengals,Eric Ball 5 yard rush (Jim Breech kick),0,52
8,4.0,Oilers,Lorenzo White 1 yard rush (Tony Zendejas kick),7,52
9,4.0,Bengals,Ira Hillary 10 yard pass from Erik Wilhelm,7,58
10,4.0,Bengals,Jim Breech 30 yard field goal,7,61
