,Quarter,Tm,Detail,DAL,NYG
0,3,Giants,Tom Mullady 20 yard pass from Scott Brunner (Joe Danelo kick),0,7
1,4,Cowboys,Doug Cosbie 3 yard pass from Danny White (Rafael Septien kick),7,7
2,4,Cowboys,Rafael Septien 36 yard field goal,10,7
3,4,Giants,Joe Danelo 40 yard field goal,10,10
4,OT,Giants,Joe Danelo 35 yard field goal,10,13
