,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,3:17,Redskins,Brett Conway 47 yard field goal,0,3
1,2.0,12:07,Redskins,Brett Conway 25 yard field goal,0,6
2,2.0,7:32,Eagles,Freddie Mitchell 4 yard pass from Donovan McNabb (David Akers kick),7,6
3,2.0,0:04,Eagles,David Akers 40 yard field goal,10,6
4,3.0,8:26,Eagles,Todd Pinkston 62 yard pass from Donovan McNabb (David Akers kick),17,6
5,4.0,12:29,Eagles,David Akers 50 yard field goal,20,6
