,Quarter,Tm,Detail,CHI,NOR
0,2.0,Saints,Tom Dempsey 47 yard field goal,0,3
1,2.0,Bears,Jim Seymour 22 yard pass from Jack Concannon (Mac Percival kick),7,3
2,3.0,Bears,Mac Percival 50 yard field goal,10,3
3,4.0,Bears,Jim Seymour 2 yard pass from Jack Concannon (Mac Percival kick),17,3
4,4.0,Bears,Dick Gordon 14 yard pass from Jack Concannon (Mac Percival kick),24,3
