,Quarter,Tm,Detail,MIA,GNB
0,1.0,Dolphins,Don Nottingham 11 yard rush (Garo Yepremian kick),7,0
1,2.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),14,0
2,2.0,Dolphins,Freddie Solomon 58 yard pass from Bob Griese (Garo Yepremian kick),21,0
3,3.0,Dolphins,Don Nottingham 11 yard rush (Garo Yepremian kick),28,0
4,3.0,Dolphins,Garo Yepremian 31 yard field goal,31,0
5,4.0,Packers,Barty Smith 2 yard rush (Joe Danelo kick),31,7
