,Quarter,Tm,Detail,NYG,CLE
0,1.0,Giants,Clarence Childs 90 yard kickoff return (Pete Gogolak kick),7,0
1,1.0,Giants,Gary Wood 5 yard rush (Pete Gogolak kick),14,0
2,1.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),14,7
3,2.0,Giants,Gary Wood 16 yard rush (Pete Gogolak kick),21,7
4,2.0,Browns,Gary Collins 3 yard pass from Frank Ryan (Lou Groza kick),21,14
5,2.0,Giants,Joe Morrison 33 yard pass from Gary Wood (Pete Gogolak kick),28,14
6,2.0,Giants,Pete Gogolak 26 yard field goal,31,14
7,3.0,Giants,Pete Gogolak 13 yard field goal,34,14
8,3.0,Browns,Leroy Kelly 3 yard rush (Lou Groza kick),34,21
9,3.0,Giants,Pete Gogolak 38 yard field goal,37,21
10,3.0,Browns,Leroy Kelly 2 yard rush (Lou Groza kick),37,28
11,4.0,Giants,Pete Gogolak 16 yard field goal,40,28
12,4.0,Browns,Ralph Smith 19 yard pass from Frank Ryan (Lou Groza kick),40,35
13,4.0,Browns,Ernie Green 31 yard pass from Frank Ryan (Lou Groza kick),40,42
14,4.0,Browns,Bill Glass 13 yard defensive fumble return (Lou Groza kick),40,49
