,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,,Giants,Brad Daluiso 28 yard field goal,3,0
1,1.0,,Giants,Chris Calloway 21 yard pass from Danny Kanell (Brad Daluiso kick),10,0
2,2.0,,Giants,Brad Daluiso 42 yard field goal,13,0
3,2.0,,Giants,Rodney Hampton 1 yard rush (Brad Daluiso kick),20,0
4,3.0,,Cowboys,Emmitt Smith 4 yard rush (Richie Cunningham kick),20,7
