,Quarter,Time,Tm,Detail,CIN,CLE
0,1.0,9:58,Browns,Phil Dawson 52 yard field goal,0,3
1,2.0,3:19,Browns,Andre' Davis 15 yard pass from Kelly Holcomb (Phil Dawson kick),0,10
2,2.0,0:21,Browns,Kevin Johnson 8 yard pass from Kelly Holcomb (Phil Dawson kick),0,17
3,4.0,10:03,Browns,Phil Dawson 45 yard field goal,0,20
4,4.0,6:27,Bengals,Chad Johnson 22 yard pass from Gus Frerotte (Neil Rackers kick),7,20
