,Quarter,Tm,Detail,ATL,DAL
0,2,Cowboys,Mike Clark 19 yard field goal,0,3
1,3,Cowboys,Mike Clark 10 yard field goal,0,6
2,4,Cowboys,Lance Rentzel 12 yard pass from Craig Morton (Mike Clark kick),0,13
